	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
015(ba)018	sgyu 'phrul drwa ba khro bo'i dkyil 'khor gyi cho ga mun sel zla ba/	15	Kun bzang rnam rgyal	Tib	335	356	ces pa'ang | gter chen mtshungs bla kun bral bka' drin can de'i chog sgrigs la gzhi byas te nyung ngur bsdus pa 'di ni bi dza'i ming gis gyis gnas mchog shing sgo gangs kyi rwa ba'i cha nus chen ri khrod du grub par bgyis pa dge |
015(ba)019	phur pa'i brgyud 'debs mgon po rgyal mtshan gyi bkod pa'o/	15	mGon po rgyal mtshan	Tib	356	358	phur brgyud kyi gsol 'debs bsdus pa 'di | mgon po rgyal mtshan gyis bkod pa'o ||
015(ba)020	dpal rdo rje gzhon nu'i dbu phyogs/	15	Unknown		359	401	
015(ba)021	gtang rag mchod bstod/	15	Kun bzang rnam rgyal	Tib	402	404	zin nyin ras bris la brtan bzhugs | rdul tshon dang tshom bu la | khyed kyi sems can tshogs kyis gshegs gsol bya'o || bi dzas bris pa dge ||
015(ba)022	'gugs pa/	15	Unknown		404	406	
015(ba)023	kaH dam pa rin po che'i bka' srol phur pa bka' ma lha nag gi rgyun khyer/	15	Kun bzang rnam rgyal	Tib	407	416	ces kaHdama pa rin po che'i dgongs pa ltar btus te rgyun khyer du bkod pa'o || rje de'i brgyud 'dzin gyi ming tsam 'dzin pa bi dza'i ming gis bris pas rgyal bstan rgyas pa'i rgyur gyur cig ||
015(ba)024	tshogs 'dod yon lam khyer/	15	Unknown		417	440	
015(ba)025	sngon 'gro me tog phreng mdzes kyi 'grel pa/	15	Ye shes rgyal mtshan	Tib	441	568	bye brag tu zhi khro gnyis la sogs sgyu 'phrul gyi dkyil chog tha dag gis sngon 'gro'i 'grel pa dgos 'dod 'byung bas rin chen mdzes pa'i rgyan du gyur pa phreng mdzes zhes bya ba 'di kaHthoga yang dgon du gsang sngags rdo rje 'dzin pa ye shes rgyal mtshan gyis sbyar ba re zhig rdzogs so ||
015(ba)026	sgyu 'phrul zhi ba'i bsgom khog lam rim gsal ba'i sgron me/	15	Ye shes rgyal mtshan	Tib	569	648	sgyu 'phrul zhi ba'i bsgom khog | las rim gsal ba'i sgron me zhes bya ba 'di | gsang sngags rdo rje 'dzin pa ye shes rgyal mtshan gyis bu 'bor ri khrod du sbyar ba rdzogs so ||
015(ba)027	sgyu 'phrul khro bo'i las rim gsal bar byed pa gser gyi phreng ba/	15	Ye shes rgyal mtshan	Tib	649	752	
016(ma)001	bcom ldan 'das rdo rje phur pa lha nag gi dkyil 'khor mngon rtogs 'grel nyi ma'i 'od zer/	16	Ye shes rgyal mtshan	Tib	1	110	 'dir yi ge mang dog pas ma bris so || las byang man chad lus bsrung go bgo yan chad la | nam mkha' ba'i de la tho yig lag len bsdus pa tsam gcig bas mi snang ba la | don bshad rgyas pa spu gri me 'bar gyis gdams ngag dang bcas pa 'di ni | kaH thog yang dgon nor bu gling zhes bya bar | gsang sngags rdo rje 'dzin pa ye shes rgyal mtshan gyis bkod pa'o || ||
016(ma)002	dpa' bo tshogs kyi rnam rol zhes bya ba'i Tik+ka 'dod don lam khyer/	16	Ye shes rgyal mtshan	Tib	111	168	dpa' bo tshogs kyi rnam rol zhes bya ba'i Tik+ka 'di ni | tshogs gzhung gi rgyud dang | pad 'byung gi tshogs kyi Tik+ka chen po dang | bla ma gong ma'i phyag len gyi tho yig rnams la | rang gi nyer len gyi shes rab kyis dpyad nas tshogs spyi'i khog chings | dmigs pa'i go rim | phyag len zhib tig su byas pa'i don ni | bshes gnyen rnams kyis bskul ba'i ngor | gsang sngags kyi rgyud gzhung rnams la blo kha cung zhig phyogs pa ye shes rgyal mtshan gyis | dpal ldan kaHthoga yang dgon du sbyar ro ||
