NY0286	phur bu yak Sha 'bar ba'i za byed dam tshig gi rgyud
NY0287	sku dhang ye shes thams cad 'dus pa'i sangs rgyas mdud pa
NY0288	rgyud kyi rgyal po khro hu ka ra'i rgyud
NY0289	khro mi g.yo mgon po'i rgyud
NY0290	khro bo rta mgrin gyi rgyud
NY0291	khro bo'i rgyal po gzhan gyi mi thub pa'i rgyud
NY0292	khro bo bdud rtsi 'khyil ba'i rgyud
NY0293	khro bo khams gsum rnam par rgyal ba'i rgyud
NY0294	khro bo stobs po che'i rgyud
NY0295	dpal rdo rje phur pa me long gsal ba'i spu gri reg gcod 'khor lo rtsibs kyi rgyud
NY0296	rgyud kyi rgyal po dpal 'jig rten snang byed
NY0297	rgyud kyi rgyal po rdo rje phreng ba
NY0298	phur pa rdo rje bkod pa rnal 'byor chen po'i rgyud
NY0299	'phags pa sangs rgyas thams cad kyi ye shes kyi rtse mo'i rgyud kyi rgyal po chen po
NY0300	rdo rje phur pa gsang a don gyi rgyud
NY0301	sbad pa gsang ba zab mo bdud rtsi'i rgyud
NY0302	rdo rje phur pa mdung rtse dmar po'i rgyud
NY0303	sha na dkar nag gyi rgyud
NY0304	bse sgrom dmar po'i rgyud
NY0305	rdo rje phur pa phrin las 'khor lo gab pa gsang ba'i rgyud
NY0306	rdo rje 'bar ba'i rgyud
NY0307	rdo rje phur pa gsang ba'i rgyud chen po
NY0308	phur pa gsang ba'i dgongs rgyud chen po
NY0309	rdo rje phur pa zhe sdang yongs su dag pa'i rgyud kyi rgyal po
NY0310	rdo rje phur pa gsang ba'i sngags rgyud 'byung po kun 'dul
NY0311	rdo rje phur pa gsang ba gdams ngag can gyi rgyud
NY0312	phur bu bcu gnyis 'byung ba'i rgyud chen po bstan pa
NY0313	rdo rjee phur pa bcu gnyis kyi rgyud
NY0314	yum gzungs ma'i dngos grub chen po'i rgyud
NY0315	srid pa rgyud lung gi rgyud phyi ma kha 'bar nag po las rgya mtsho'i rgyud
NY0316	ma mo lam rgyud lung
NY0317	sngags kyi srung ma dpal ae ka dza' ti'i rgyud
NY0318	ral gcig ma chos kyi dbyings bdg mi spu gri ya ma'i rgyud
NY0319	ae ka dza ti sbas pa nag mo'i rgyud
NY0320	mkha' 'gro me lce 'bar ba'i rgyud
NY0321	'phags ma he sdud 'bar ba'i rgyud
NY0322	las kyi mkha' 'gro ma de kho na nyid gsum du 'dus pa zhes bya ba'i rgyud
NY0323	srid pa rgya mtsho gzhi'i rgyud
NY0324	ma mo 'dus pa'i rgyud
NY0325	ma mo srid pa zla gsang thig le'i rgyud
NY0326	thugs kyi yang snying ma mo 'bum tig gi rgyud
NY0327	rgyud lung byang skor
NY0328	'phags pa rdo rje nag mo dbang phyug ma zhes bya ba'i sngags rgyud kyi rgyal po
NY0329	'phags pa lha mo nag mo'i sngags rgyud
NY0330	dpal lha mo nag mo'i thugs kyi srog sgrub gsang ba'i rgyud
NY0331	snying thig bkol ba'i rgyud
NY0332	srog tig dang snying tig gi rgyud
NY0333	snying tig bkol ba'i rgyud 'ug pa'i gdong pa can
NY0334	dbyings gsang ba'i 'khor lo'i rgyud
NY0335	phra men spyang ki las kyi rgyal mo'i rgyud
NY0336	rgyud kyi rgyal po rdo rje mka' 'gro'i rgyud
NY0337	'jig rten mchod bstod sgrub pa rtsa ba'i rgyud
NY0338	drag sngags sa la 'dus pa rdo rje rtsa ba'i rgyud
NY0339	dpal mgon po nag po gsang ba snying gi 'khor lo dngos grub chen po 'byung ba'i rgyud
NY0340	dpal nag po chen po me lce phreng ba zhes bya ba'i rgyud
NY0341	dpal nag po chen po'i rgyud dur khrod nag po
NY0342	man ngag brtsegs pa gri gug gi rgyud
NY0343	dpal mgon po nag po chen po sku gsung thugs khros pa'i rgyud
NY0344	dpal mgon po nag po dur khrod mngon par rol pa mtshon cha 'khor lo zhes bya ba'i rgyud
NY0345	dpal nag po chen po drag po'i brtag pa dur khrod chen po rgyud
NY0346	nag po chen po gzugs can gcer bu'i rgyud
NY0347	rnal 'byor dbang phyug chen me ral gcig ma'i rgyud
NY0348	srid pa'i bem
NY0349	nag po chen po las mgon bya rog dgong gi rgyud
NY0350	mdo snying gzer nag po'i rgyud chen po
NY0351	lha 'dre stong gi dra ba'i rgyud chen po
NY0352	de bzhin gshegs pa lnga'i bkra shis kyi tshigs su bcad pa
NY0353	rdzogs pa chen po rmad byung don gyi snying po
NY0354	rdzogs pa chen po kun tu bzang po ye shes gsal bar ston pa'i rgyud phyi ma'i phyi ma
NY0355	bstan pa thams cad kyi snying po sems can thams cad la sangs rgyas rang chas chen por bzhugs pa'i rgyud
NY0356	rgyal ba rdo rje sems dpa'i dgongs pa bstan pa thams cad kyi bu gcig pa zhes bya ba'i rgyud
NY0357	thig le gsang ba'i brda' rgyud
NY0358	sku gsum gyi snang ba gsal bar ngo sprod pa'i rgyud
NY0359	sku gsung thugs thugs rdo rje rtsa ba thams cad rdzogs pa'i rgyud
NY0360	chos thams cad kyi don ston pa rdzogs chen thig le nyag gcig ye nas bya rtsal bral ba
NY0361	rin po che gdams ngag sna tshogs 'khor lo'i rgyud
